INFO - 2024-06-09 01:02:24,673: Iniciando conexão com Servidor
INFO - 2024-06-09 01:02:24,674: Cliente conectado ao servidor: ('127.0.0.1', 6000)
INFO - 2024-06-09 01:02:25,400: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OPTION-1-Requisição de arquivo'
INFO - 2024-06-09 01:02:25,409: Remetente: ('127.0.0.1', 6000) - Recebido: '4'
INFO - 2024-06-09 01:02:25,410: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OK-1-Confirmação'
INFO - 2024-06-09 01:02:25,410: Remetente: ('127.0.0.1', 6000) - Recebido: '1M.txt'
INFO - 2024-06-09 01:02:25,410: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-1'
INFO - 2024-06-09 01:02:25,410: Remetente: ('127.0.0.1', 6000) - Recebido: '75MB.bin'
INFO - 2024-06-09 01:02:25,410: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-2'
INFO - 2024-06-09 01:02:25,410: Remetente: ('127.0.0.1', 6000) - Recebido: 'main.png'
INFO - 2024-06-09 01:02:25,411: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-3'
INFO - 2024-06-09 01:02:25,411: Remetente: ('127.0.0.1', 6000) - Recebido: 'merge.png'
INFO - 2024-06-09 01:02:25,411: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-4'
INFO - 2024-06-09 01:02:35,588: Destinatário: ('127.0.0.1', 6000) - Enviado:  'main.png'
INFO - 2024-06-09 01:02:35,589: Remetente: ('127.0.0.1', 6000) - Recebido: 'OK-1-Confirmação'
INFO - 2024-06-09 01:02:35,590: Remetente: ('127.0.0.1', 6000) - Recebido: 'OK-2-55-2-2068-8b5e0360536f59a3178e77dfa0317488'
INFO - 2024-06-09 01:02:35,590: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OK-1-Confirmação'
INFO - 2024-06-09 01:02:35,590: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-1'
INFO - 2024-06-09 01:02:35,591: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-2'
INFO - 2024-06-09 01:02:35,591: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-3'
INFO - 2024-06-09 01:02:35,591: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-4'
