INFO - 2024-06-09 01:02:18,224: Servidor foi inicializado!
INFO - 2024-06-09 01:02:25,400: Remetente: ('127.0.0.1', 55630) - Recebido: 'OPTION-1-Requisição de arquivo'
INFO - 2024-06-09 01:02:25,409: Destinatário: ('127.0.0.1', 55630) - Enviado:  '4'
INFO - 2024-06-09 01:02:25,410: Remetente: ('127.0.0.1', 55630) - Recebido: 'OK-1-Confirmação'
INFO - 2024-06-09 01:02:25,410: Destinatário: ('127.0.0.1', 55630) - Enviado:  '1M.txt'
INFO - 2024-06-09 01:02:25,410: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-1'
INFO - 2024-06-09 01:02:25,410: Destinatário: ('127.0.0.1', 55630) - Enviado:  '75MB.bin'
INFO - 2024-06-09 01:02:25,410: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-2'
INFO - 2024-06-09 01:02:25,410: Destinatário: ('127.0.0.1', 55630) - Enviado:  'main.png'
INFO - 2024-06-09 01:02:25,411: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-3'
INFO - 2024-06-09 01:02:25,411: Destinatário: ('127.0.0.1', 55630) - Enviado:  'merge.png'
INFO - 2024-06-09 01:02:25,411: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-4'
INFO - 2024-06-09 01:02:35,588: Remetente: ('127.0.0.1', 55630) - Recebido: 'main.png'
INFO - 2024-06-09 01:02:35,589: Destinatário: ('127.0.0.1', 55630) - Enviado:  'OK-1-Confirmação'
INFO - 2024-06-09 01:02:35,590: Destinatário: ('127.0.0.1', 55630) - Enviado:  'OK-2-55-2-2068-8b5e0360536f59a3178e77dfa0317488'
INFO - 2024-06-09 01:02:35,590: Remetente: ('127.0.0.1', 55630) - Recebido: 'OK-1-Confirmação'
INFO - 2024-06-09 01:02:35,590: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 1'
INFO - 2024-06-09 01:02:35,590: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-1'
INFO - 2024-06-09 01:02:35,590: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 2'
INFO - 2024-06-09 01:02:35,591: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-2'
INFO - 2024-06-09 01:02:35,591: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 3'
INFO - 2024-06-09 01:02:35,591: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-3'
